time,ax,ay,az,atotal
0.000,0.40,-0.12,2.72,2.75
0.010,0.38,-0.37,1.64,1.72
0.020,0.07,-0.36,0.28,0.47
0.030,-0.40,-0.18,-0.71,0.83
0.040,-0.46,0.15,-1.13,1.23
0.050,-0.22,0.45,-1.15,1.25
0.060,-0.38,0.58,-0.90,1.13
0.070,-0.41,0.40,-0.79,0.98
0.080,-0.08,0.17,-1.05,1.07
0.091,0.07,-0.09,-1.61,1.61
0.101,-0.23,-0.38,-1.94,1.99
0.111,-0.65,-0.49,-1.56,1.76
0.121,-0.69,-0.25,-1.06,1.29
0.131,-0.53,0.00,-0.51,0.73
0.141,-0.06,0.06,0.12,0.15
0.151,0.17,-0.00,0.81,0.83
0.161,-0.55,-0.05,1.61,1.70
0.171,-0.94,-0.20,1.27,1.59
0.181,-1.07,-0.03,1.01,1.47
0.191,-1.32,0.24,0.69,1.51
0.201,-1.27,0.40,0.41,1.40
0.212,-1.38,0.37,0.40,1.48
0.222,-0.45,0.32,0.68,0.88
0.232,0.31,0.80,1.14,1.42
0.242,-0.56,0.37,0.88,1.10
0.252,-0.47,-1.03,-0.01,1.13
0.262,-0.45,-2.01,-0.83,2.22
0.272,-0.71,-2.27,-1.12,2.63
0.282,-1.17,-2.11,-1.07,2.64
0.292,-1.57,-1.78,-0.79,2.50
0.302,-1.59,-1.12,-0.35,1.97
0.312,-1.56,-1.04,-0.04,1.88
0.322,-1.88,-1.28,0.01,2.27
0.332,-2.41,-1.41,0.30,2.81
0.342,-2.56,-1.47,1.07,3.14
0.352,-2.06,-1.64,2.58,3.69
0.362,-0.99,-2.06,4.99,5.48
0.373,0.19,-1.95,4.41,4.82
0.383,0.17,-1.43,4.50,4.72
0.393,0.09,-1.49,3.50,3.81
0.403,-0.19,-1.29,2.05,2.43
0.413,-0.58,-0.36,1.44,1.59
0.423,-0.36,0.22,1.74,1.79
0.433,0.38,-0.29,1.93,1.99
0.443,0.61,-0.76,2.15,2.36
0.453,0.72,-0.69,2.29,2.50
0.463,0.65,-0.58,1.94,2.13
0.473,-0.29,-0.59,1.42,1.57
0.483,-1.78,-0.79,0.86,2.13
0.494,-3.19,-0.37,0.99,3.36
0.504,-2.70,-0.13,1.55,3.12
0.513,-0.56,-0.59,1.81,1.98
0.524,0.36,-0.46,1.84,1.93
0.534,0.15,-0.47,1.63,1.70
0.544,-0.01,-0.69,1.45,1.61
0.554,-0.51,-0.80,1.25,1.57
0.564,-1.20,-1.13,1.09,1.98
0.574,-1.69,-1.53,1.41,2.68
0.584,-1.58,-1.65,2.15,3.14
0.594,-0.77,-1.72,2.45,3.09
0.604,-0.33,-1.58,2.00,2.57
0.614,-0.28,-1.76,0.97,2.03
0.624,-0.80,-1.91,0.32,2.10
0.634,-1.73,-2.09,0.34,2.73
0.644,-2.28,-2.35,0.68,3.34
0.655,-1.57,-2.46,1.06,3.10
0.665,-0.31,-2.08,0.69,2.22
0.675,0.37,-1.55,-0.37,1.64
0.685,0.38,-1.21,-1.62,2.05
0.695,0.14,-1.18,-2.93,3.16
0.705,0.19,-1.12,-3.91,4.07
0.715,0.07,-0.88,-4.52,4.61
0.725,-0.34,-0.53,-5.01,5.05
0.735,-0.59,-0.35,-5.50,5.54
0.745,-0.72,-0.41,-5.65,5.71
0.755,-0.52,-0.60,-5.45,5.50
0.765,-0.26,-0.63,-5.10,5.15
0.775,-0.09,-0.69,-4.69,4.75
0.785,0.17,-0.87,-4.07,4.17
0.796,0.39,-1.07,-3.55,3.72
0.806,0.63,-1.15,-3.11,3.37
0.816,0.59,-1.20,-2.66,2.98
0.826,0.26,-1.35,-2.30,2.68
0.836,-0.10,-1.58,-2.22,2.73
0.846,-0.48,-1.67,-2.29,2.87
0.856,-0.76,-1.56,-2.55,3.09
0.866,-0.98,-1.44,-2.85,3.34
0.876,-0.98,-1.28,-2.66,3.11
0.886,-0.92,-1.22,-2.04,2.54
0.896,-0.91,-1.01,-1.33,1.90
0.906,-0.67,-0.95,-0.64,1.32
0.916,-0.43,-1.12,-0.14,1.21
0.926,-0.75,-1.09,0.14,1.33
0.937,-1.36,-1.07,0.35,1.77
0.946,-1.62,-1.27,0.56,2.14
0.957,-1.70,-1.44,0.85,2.38
0.967,-1.63,-1.50,1.21,2.52
0.977,-1.42,-1.53,1.61,2.63
0.987,-1.26,-1.50,2.27,3.00
0.997,-1.08,-1.51,3.07,3.59
1.007,-0.53,-1.44,3.80,4.10
1.017,0.37,-1.26,4.36,4.56
1.027,0.96,-1.15,4.84,5.07
1.037,1.20,-0.93,5.12,5.34
1.047,1.20,-0.48,5.00,5.17
1.057,1.74,0.01,5.17,5.45
1.067,2.20,0.41,4.81,5.31
1.077,1.71,0.48,3.86,4.25
1.087,0.78,0.63,3.26,3.42
1.098,-0.12,0.80,3.12,3.22
1.108,-0.67,0.58,3.28,3.40
1.118,-0.78,0.18,3.85,3.93
1.128,0.64,0.15,4.40,4.45
1.138,2.83,0.75,3.95,4.92
1.148,3.86,1.48,1.94,4.57
1.158,4.14,1.51,0.36,4.42
1.168,2.20,1.29,0.10,2.55
1.178,-0.27,0.77,-0.05,0.82
1.188,-1.41,-0.13,-0.23,1.44
1.198,-1.80,-0.54,0.07,1.88
1.208,-1.03,-0.34,-0.43,1.17
1.218,-0.56,0.24,-1.10,1.26
1.228,-0.86,0.65,-1.78,2.08
1.239,-1.51,0.35,-2.19,2.69
1.249,-1.87,-0.23,-2.33,3.00
1.259,-2.00,-0.90,-2.16,3.08
1.269,-1.83,-1.36,-1.56,2.76
1.279,-0.68,-1.23,-0.92,1.68
1.289,0.29,-0.77,-0.46,0.94
1.299,0.44,-0.41,-0.11,0.61
1.309,0.30,-0.62,0.01,0.69
1.319,-0.07,-1.01,0.04,1.01
1.329,-0.53,-1.25,0.21,1.37
1.339,-0.84,-1.46,0.48,1.76
1.349,-0.57,-1.35,0.62,1.59
1.359,0.10,-0.68,0.49,0.84
1.370,0.15,0.08,0.17,0.24
1.379,-0.14,0.28,-0.32,0.45
1.390,-0.56,-0.01,-0.77,0.95
1.400,-1.03,-0.28,-0.91,1.40
1.410,-1.57,-0.46,-0.63,1.75
1.420,-1.94,-0.43,0.00,1.98
1.430,-2.01,-0.23,0.79,2.18
1.440,-1.81,-0.22,1.41,2.30
1.450,-1.42,-0.19,1.58,2.13
1.460,-0.95,0.05,1.36,1.66
1.470,-0.66,0.14,1.16,1.34
1.480,-0.40,0.05,0.99,1.07
1.490,-0.57,-0.09,0.66,0.87
1.501,-0.84,-0.27,0.20,0.91
1.510,-1.03,-0.37,-0.08,1.10
1.521,-1.23,-0.56,-0.25,1.38
1.530,-1.20,-0.79,-0.35,1.48
1.541,-0.92,-0.81,-0.51,1.33
1.551,-0.49,-0.79,-0.70,1.16
1.561,-0.17,-0.93,-0.75,1.20
1.571,0.00,-0.99,-0.71,1.22
1.581,0.06,-0.92,-0.74,1.18
1.591,0.08,-0.84,-0.75,1.12
1.602,0.03,-0.90,-0.49,1.02
1.611,0.14,-1.00,-0.17,1.02
1.621,0.29,-0.88,0.10,0.93
1.631,0.55,-0.81,0.42,1.07
1.641,1.09,-0.75,0.57,1.44
1.651,1.26,-0.49,0.49,1.44
1.662,0.73,-0.35,0.36,0.88
1.671,0.03,-0.52,0.20,0.56
1.682,-0.55,-0.73,0.02,0.91
1.692,-1.09,-0.66,0.02,1.28
1.702,-1.36,-0.70,-0.02,1.53
1.712,-1.08,-0.65,-0.46,1.34
1.722,-0.82,-0.30,-0.72,1.13
1.732,-0.90,-0.23,-0.76,1.20
1.742,-0.88,-0.43,-0.77,1.25
1.752,-0.94,-0.47,-0.85,1.35
1.762,-1.01,-0.29,-0.99,1.45
1.772,-1.02,-0.09,-1.15,1.53
1.782,-0.62,-0.02,-1.22,1.37
1.792,0.06,0.13,-1.29,1.29
1.803,0.89,0.49,-1.62,1.91
1.812,1.20,0.78,-1.92,2.39
1.823,0.99,0.68,-1.76,2.13
1.833,0.38,0.40,-1.08,1.21
