time,ax,ay,az,atotal
0.000,0.01,0.04,0.22,0.23
0.010,0.03,-0.01,0.16,0.16
0.020,0.02,-0.03,-0.11,0.11
0.030,-0.02,-0.00,-0.32,0.32
0.040,-0.14,0.09,-0.35,0.39
0.050,-0.20,0.18,-0.20,0.34
0.060,-0.19,0.23,-0.01,0.30
0.070,-0.15,0.24,0.18,0.33
0.081,-0.03,0.19,0.21,0.28
0.091,0.02,0.14,0.12,0.18
0.101,0.00,0.11,-0.00,0.11
0.111,-0.04,0.08,-0.11,0.14
0.121,-0.08,0.09,-0.15,0.19
0.131,-0.09,0.10,-0.14,0.20
0.141,-0.07,0.12,-0.13,0.19
0.151,-0.00,0.15,-0.09,0.17
0.161,0.05,0.14,-0.01,0.15
0.171,0.09,0.12,0.01,0.15
0.181,0.08,0.09,0.00,0.12
0.191,0.03,0.08,-0.00,0.08
0.201,-0.00,0.07,-0.04,0.08
0.211,-0.04,0.07,-0.07,0.10
0.222,-0.05,0.07,-0.10,0.13
0.232,-0.07,0.06,-0.09,0.12
0.242,-0.08,0.06,-0.07,0.12
0.252,-0.07,0.05,-0.04,0.10
0.262,-0.07,0.07,-0.03,0.11
0.272,-0.06,0.07,-0.02,0.09
0.282,-0.05,0.08,-0.01,0.09
0.292,-0.06,0.09,-0.03,0.11
0.302,-0.09,0.12,-0.06,0.16
0.312,-0.09,0.13,-0.07,0.18
0.322,-0.09,0.12,-0.07,0.17
0.332,-0.09,0.11,-0.05,0.15
0.342,-0.07,0.10,-0.02,0.12
0.352,-0.09,0.12,-0.02,0.16
0.363,-0.09,0.11,-0.03,0.14
0.373,-0.09,0.10,-0.01,0.14
0.383,-0.13,0.11,-0.01,0.17
0.393,-0.13,0.09,-0.02,0.16
0.403,-0.13,0.08,-0.04,0.16
0.413,-0.11,0.08,-0.06,0.14
0.423,-0.05,0.07,-0.06,0.11
0.433,-0.03,0.07,-0.04,0.08
0.443,-0.02,0.08,-0.05,0.10
0.453,-0.03,0.10,-0.04,0.11
0.463,-0.02,0.11,-0.05,0.12
0.473,-0.06,0.10,-0.04,0.12
0.483,-0.07,0.09,-0.04,0.12
0.493,-0.07,0.08,-0.04,0.11
0.503,-0.05,0.06,-0.04,0.09
0.513,0.01,0.04,-0.02,0.05
0.524,0.01,0.06,-0.02,0.06
0.534,-0.01,0.08,-0.02,0.08
0.544,-0.02,0.10,-0.02,0.10
0.554,-0.00,0.14,-0.04,0.15
0.564,-0.00,0.14,-0.05,0.15
0.574,0.01,0.13,-0.06,0.14
0.584,0.00,0.11,-0.03,0.11
0.594,0.00,0.08,-0.02,0.08
0.604,0.03,0.07,-0.03,0.08
0.614,0.01,0.05,-0.04,0.07
0.624,0.01,0.06,-0.02,0.07
0.634,-0.02,0.05,0.01,0.06
0.644,0.00,0.06,-0.03,0.06
0.655,0.02,0.05,-0.06,0.08
0.665,-0.02,0.06,-0.08,0.10
0.675,-0.05,0.07,-0.06,0.11
0.685,-0.09,0.07,-0.05,0.13
0.695,-0.08,0.05,-0.06,0.11
0.705,-0.04,0.04,-0.05,0.07
0.715,-0.02,0.03,-0.03,0.05
0.725,-0.02,0.05,0.01,0.05
0.735,-0.05,0.07,0.01,0.09
0.745,-0.06,0.08,-0.05,0.11
0.755,-0.07,0.08,-0.05,0.12
0.765,-0.06,0.08,-0.04,0.11
0.775,-0.04,0.06,-0.02,0.08
0.785,-0.03,0.05,-0.00,0.06
0.795,-0.04,0.05,-0.02,0.07
0.806,-0.06,0.04,-0.05,0.09
0.816,-0.10,0.05,-0.09,0.14
0.826,-0.12,0.06,-0.09,0.16
0.836,-0.11,0.08,-0.07,0.16
0.846,-0.09,0.09,-0.04,0.13
0.856,-0.04,0.07,0.01,0.08
0.866,-0.01,0.04,0.04,0.06
0.876,0.02,0.02,0.05,0.06
0.886,0.03,0.01,0.05,0.06
0.896,0.02,0.01,0.04,0.05
0.906,-0.00,-0.01,0.06,0.06
0.916,-0.05,-0.02,0.09,0.10
0.926,-0.11,-0.03,0.15,0.19
0.936,-0.13,-0.03,0.18,0.23
0.947,-0.09,-0.04,0.17,0.20
0.957,-0.03,0.02,0.07,0.08
