time,ax,ay,az,atotal
0.000,0.74,-0.01,0.22,0.77
0.010,0.94,0.28,-0.08,0.99
0.020,1.05,0.42,-0.35,1.18
0.030,1.24,0.38,-0.38,1.35
0.040,1.08,0.30,-0.02,1.12
0.050,0.72,0.22,0.62,0.97
0.060,0.49,0.11,1.07,1.18
0.071,0.53,-0.03,0.96,1.09
0.081,0.82,0.05,0.29,0.87
0.091,1.06,0.07,-0.57,1.20
0.101,1.02,0.55,-0.73,1.37
0.111,1.04,1.53,-0.68,1.97
0.121,0.76,1.19,-0.45,1.48
0.131,0.35,0.04,-0.23,0.42
0.141,0.26,-0.65,-0.16,0.72
0.151,0.38,-0.66,0.48,0.90
0.161,0.64,-0.59,0.91,1.26
0.171,0.62,-0.76,1.33,1.65
0.181,1.42,-0.80,0.03,1.63
0.191,1.38,-0.46,-1.07,1.80
0.201,0.01,-0.13,-1.30,1.31
0.212,-0.48,0.05,-1.61,1.68
0.222,0.05,-0.01,-1.53,1.53
0.232,1.22,1.05,-1.43,2.16
0.242,2.22,1.38,-1.30,2.92
0.252,2.65,1.18,-1.03,3.08
0.262,2.49,1.05,-0.83,2.83
0.272,1.97,0.82,-0.93,2.33
0.282,1.41,0.64,-0.97,1.82
0.292,0.73,0.34,-0.86,1.18
0.302,0.48,0.10,-0.68,0.84
0.312,0.30,-0.19,-0.40,0.53
0.322,0.37,-0.33,-0.00,0.50
0.332,0.76,-0.31,0.44,0.93
0.342,0.89,-0.42,0.62,1.16
0.352,0.72,-0.66,0.53,1.11
0.363,0.44,-0.91,0.16,1.03
0.373,0.17,-1.02,-0.29,1.08
0.383,-0.29,-0.95,-0.77,1.26
0.393,-0.84,-0.84,-1.39,1.83
0.403,-1.15,-1.05,-1.72,2.32
0.413,-1.34,-1.40,-1.82,2.66
0.423,-1.37,-1.52,-1.77,2.71
0.433,-1.00,-1.53,-1.69,2.49
0.443,-0.66,-1.57,-1.97,2.60
0.453,-0.25,-1.71,-2.45,3.00
0.463,-0.01,-1.83,-2.86,3.40
0.473,0.09,-1.83,-3.13,3.63
0.483,0.06,-1.79,-3.31,3.76
0.493,-0.08,-1.89,-3.53,4.00
0.503,-0.44,-2.12,-3.65,4.24
0.514,-0.90,-2.40,-3.57,4.40
0.524,-1.28,-2.73,-3.36,4.52
0.534,-1.38,-2.94,-3.08,4.47
0.544,-1.29,-2.93,-2.78,4.24
0.554,-1.31,-2.87,-2.54,4.05
0.564,-1.36,-2.91,-2.37,3.99
0.574,-1.44,-3.00,-2.15,3.96
0.584,-1.65,-3.16,-1.82,4.00
0.594,-1.87,-3.37,-1.57,4.16
0.604,-2.07,-3.47,-1.34,4.26
0.614,-2.31,-3.41,-1.23,4.29
0.624,-2.56,-3.33,-1.16,4.36
0.634,-2.60,-3.43,-0.90,4.39
0.644,-2.46,-3.43,-0.49,4.25
0.655,-2.31,-3.44,0.09,4.14
0.665,-1.94,-3.40,0.69,3.98
0.675,-1.66,-3.17,1.12,3.75
0.685,-1.52,-2.93,1.44,3.60
0.695,-1.50,-2.81,1.70,3.61
0.705,-1.75,-3.03,1.72,3.90
0.715,-2.06,-3.27,1.61,4.19
0.725,-1.57,-3.07,1.63,3.81
0.735,-0.89,-2.40,1.79,3.12
0.745,-0.44,-1.76,2.03,2.72
0.755,-0.15,-1.50,2.70,3.09
0.765,0.27,-1.37,3.42,3.69
0.775,0.60,-1.40,3.96,4.25
0.786,1.25,-1.13,4.07,4.41
0.796,1.84,-0.58,3.78,4.25
0.806,2.15,-0.06,2.99,3.68
0.816,2.41,0.08,2.31,3.34
0.826,2.43,0.14,2.37,3.39
0.836,2.58,0.02,3.02,3.97
0.846,3.41,0.09,3.87,5.16
0.856,4.60,0.67,4.12,6.21
0.866,5.49,1.20,3.89,6.83
0.876,5.68,1.46,3.26,6.71
0.886,5.46,1.61,2.40,6.18
0.896,4.86,1.49,1.63,5.34
0.906,4.17,1.23,1.30,4.54
0.916,3.80,1.23,1.34,4.21
0.927,4.37,1.30,1.28,4.73
0.936,5.40,1.92,1.07,5.83
0.947,5.87,2.33,0.81,6.37
0.957,5.86,2.33,1.34,6.44
0.967,5.73,2.11,1.38,6.26
0.977,5.74,2.27,0.39,6.18
0.987,5.69,2.53,-1.63,6.44
0.997,5.32,3.25,-10.71,12.39
1.007,3.55,3.87,-27.54,28.04
1.017,2.37,3.04,-24.53,24.83
1.027,5.22,3.42,-8.39,10.46
1.037,6.13,4.69,0.66,7.75
1.047,4.33,3.72,3.49,6.69
1.057,-0.08,2.13,1.91,2.86
1.067,-4.50,1.70,-2.67,5.51
1.078,-7.64,2.98,-4.05,9.14
1.087,-6.78,3.70,1.60,7.89
1.098,-4.77,2.24,4.91,7.20
1.108,-4.21,2.30,4.22,6.39
1.118,-4.40,2.18,3.49,6.02
1.128,-4.91,0.94,4.17,6.51
1.138,-5.25,-0.15,5.21,7.39
1.148,-5.78,-1.06,5.80,8.26
1.158,-6.03,-2.47,5.76,8.69
1.168,-5.95,-3.47,5.11,8.57
1.179,-3.33,-3.94,4.36,6.76
1.188,-0.67,-3.98,3.65,5.44
1.198,1.30,-4.14,4.02,5.92
1.209,3.11,-4.90,4.68,7.46
1.218,3.40,-5.17,5.60,8.35
1.229,3.07,-4.76,5.69,8.03
1.239,2.47,-3.98,4.08,6.21
1.249,3.80,-3.60,0.20,5.25
1.259,4.44,-2.33,-3.95,6.38
1.269,4.22,0.49,-7.37,8.51
1.279,3.51,1.20,-14.14,14.62
1.289,2.27,1.39,-15.60,15.83
1.299,1.06,2.45,-8.12,8.54
1.309,0.35,2.04,-5.10,5.50
1.319,-0.90,1.68,-2.74,3.33
1.329,-1.81,1.34,-0.62,2.33
1.339,-2.38,-0.37,0.20,2.42
1.349,-2.90,-1.63,0.27,3.34
1.360,-2.78,-2.26,0.92,3.70
1.370,-2.54,-2.45,1.84,3.98
1.380,-2.13,-2.67,2.04,3.98
1.390,-1.24,-2.79,1.85,3.57
1.400,0.39,-3.14,1.84,3.66
1.410,1.60,-3.49,2.05,4.35
1.420,2.68,-3.68,2.36,5.13
1.430,2.52,-3.05,3.16,5.07
1.440,1.20,-0.93,3.90,4.19
1.450,-0.20,0.86,3.44,3.55
1.460,-1.07,1.28,1.61,2.32
1.470,-1.03,1.30,-0.09,1.66
1.480,-0.71,1.11,-0.83,1.55
1.490,-0.73,0.41,-0.72,1.11
1.500,-1.04,-0.37,-0.39,1.17
1.511,-1.22,-1.01,0.14,1.59
1.521,-1.40,-1.06,0.47,1.82
1.531,-1.09,-1.11,0.42,1.61
1.541,-0.55,-1.12,0.21,1.26
1.551,0.11,-0.70,0.12,0.72
1.561,0.51,-0.01,0.28,0.59
1.571,0.37,0.68,0.46,0.90
1.581,-0.55,1.12,0.40,1.31
1.591,-1.78,1.37,0.22,2.25
1.601,-2.69,1.50,0.49,3.12
1.611,-3.43,2.36,0.61,4.21
1.621,-4.04,3.31,0.57,5.25
1.631,-3.82,3.37,0.98,5.18
1.641,-2.74,3.67,1.72,4.90
1.652,-2.02,3.28,2.04,4.36
1.662,-0.48,3.67,1.73,4.09
1.672,-1.07,2.39,1.93,3.26
1.682,-3.03,0.86,2.17,3.82
1.692,-4.26,0.50,1.94,4.71
1.702,-3.99,0.58,1.57,4.33
1.712,-3.70,-0.68,0.95,3.88
1.722,-3.56,-1.82,-0.59,4.05
1.732,-3.28,-2.83,-2.95,5.24
