time,ax,ay,az,atotal
0.000,1.04,0.72,0.02,1.27
0.010,0.93,0.75,-0.18,1.21
0.020,0.70,0.86,-0.26,1.14
0.030,0.73,0.89,-0.29,1.19
0.040,0.80,0.67,-0.16,1.06
0.050,0.99,0.46,0.08,1.09
0.061,1.20,0.64,0.39,1.42
0.071,1.35,0.66,0.37,1.55
0.081,1.45,0.87,0.51,1.77
0.091,1.49,1.32,0.27,2.00
0.101,1.39,1.42,-0.22,2.00
0.111,1.42,1.35,-0.49,2.02
0.121,1.49,1.18,-0.31,1.92
0.131,1.31,0.58,0.26,1.46
0.141,1.41,-0.14,1.06,1.77
0.151,1.15,-0.97,1.31,1.99
0.161,0.43,-1.73,1.01,2.04
0.171,-0.34,-1.42,0.64,1.60
0.181,-0.61,-0.51,0.04,0.79
0.191,0.16,0.75,-0.90,1.18
0.201,-0.11,0.20,-1.12,1.14
0.212,-0.12,0.01,-0.64,0.65
0.222,-0.02,0.06,-0.61,0.61
0.232,0.40,-0.26,-1.11,1.21
0.242,0.67,-0.76,-1.99,2.23
0.252,0.98,-1.10,-1.96,2.45
0.262,1.37,-0.41,-2.01,2.47
0.272,0.18,-0.44,-1.12,1.22
0.282,-0.84,-0.59,-1.52,1.83
0.292,0.42,0.05,-0.98,1.06
0.302,1.61,-0.15,-0.29,1.64
0.312,2.33,-0.57,-0.41,2.43
0.322,1.98,-0.56,-0.32,2.08
0.332,1.23,-1.17,-0.34,1.73
0.342,1.31,-1.78,-0.33,2.24
0.353,1.73,-2.21,-0.36,2.83
0.363,1.75,-2.38,-0.75,3.05
0.373,1.38,-2.15,-1.07,2.77
0.383,0.87,-1.93,-1.25,2.46
0.393,0.49,-1.93,-1.47,2.48
0.403,0.18,-1.95,-1.77,2.64
0.413,0.03,-1.74,-1.96,2.62
0.423,0.08,-1.40,-1.97,2.42
0.433,0.14,-1.34,-1.98,2.40
0.443,0.07,-1.51,-2.01,2.51
0.453,-0.24,-1.66,-1.80,2.46
0.463,-0.71,-1.64,-1.25,2.18
0.473,-0.96,-1.84,-0.76,2.21
0.483,-0.91,-2.03,-0.34,2.25
0.494,-0.78,-2.07,0.06,2.22
0.504,-0.51,-1.96,0.35,2.05
0.514,-0.27,-1.86,0.44,1.93
0.524,-0.15,-1.72,0.27,1.75
0.534,-0.21,-1.51,-0.19,1.54
0.544,-0.32,-1.35,-0.84,1.63
0.554,-0.41,-1.19,-1.54,1.99
0.564,-0.48,-0.99,-2.04,2.32
0.574,-0.57,-0.92,-2.27,2.51
0.584,-0.60,-0.94,-2.32,2.57
0.594,-0.66,-0.96,-2.28,2.56
0.604,-0.78,-1.04,-2.29,2.63
0.614,-0.94,-1.14,-2.29,2.72
0.624,-1.07,-1.33,-2.14,2.74
0.634,-1.16,-1.60,-2.03,2.83
0.645,-1.06,-1.75,-1.79,2.72
0.655,-1.06,-2.05,-1.35,2.67
0.665,-1.35,-2.45,-0.79,2.91
0.675,-1.79,-2.90,-0.40,3.43
0.685,-2.39,-3.22,-0.12,4.01
0.695,-2.97,-3.41,-0.25,4.53
0.705,-3.65,-3.42,-0.72,5.05
0.715,-3.82,-3.28,-0.93,5.12
0.725,-3.79,-3.21,-0.80,5.03
0.735,-3.78,-3.14,-0.40,4.93
0.745,-3.65,-2.88,0.28,4.66
0.755,-3.45,-2.61,1.30,4.52
0.765,-3.44,-2.44,2.09,4.70
0.775,-3.62,-2.30,2.46,4.94
0.786,-3.41,-2.11,2.34,4.64
0.795,-2.77,-1.76,2.33,4.03
0.806,-1.66,-1.56,2.50,3.38
0.816,-0.11,-1.88,2.88,3.44
0.826,1.08,-1.19,3.23,3.61
0.836,0.75,0.28,3.85,3.93
0.846,0.82,0.31,4.69,4.77
0.856,1.17,-0.17,5.17,5.31
0.866,1.65,-0.35,5.22,5.49
0.876,2.06,0.20,5.07,5.47
0.886,2.22,0.84,4.88,5.43
0.896,2.34,1.01,4.85,5.48
0.906,2.42,0.84,4.99,5.61
0.916,2.55,0.70,5.12,5.76
0.927,2.59,0.40,5.12,5.75
0.937,2.54,0.14,4.88,5.50
0.947,2.44,0.18,4.35,4.99
0.957,2.43,0.10,3.30,4.10
0.967,2.47,-0.15,2.08,3.23
0.977,2.70,-0.23,1.23,2.98
0.987,3.19,-0.10,0.89,3.32
0.997,3.76,0.21,1.17,3.94
1.007,4.22,0.51,1.95,4.68
1.017,4.60,0.95,2.93,5.53
1.027,4.98,1.33,3.90,6.46
1.037,5.38,1.53,4.72,7.33
1.047,5.42,1.64,5.44,7.85
1.057,4.99,1.85,5.99,8.01
1.068,4.20,1.87,6.10,7.64
1.078,3.58,1.54,5.54,6.77
1.088,3.22,1.45,4.38,5.62
1.098,3.16,1.65,2.90,4.59
1.108,3.05,1.68,1.86,3.95
1.118,3.53,1.79,0.52,3.99
1.128,3.79,1.81,-0.63,4.25
1.138,3.73,1.45,-0.28,4.01
1.148,4.27,1.42,-0.57,4.54
1.158,4.93,1.66,-2.13,5.63
1.168,5.41,1.81,-4.62,7.34
1.178,5.96,2.03,-7.95,10.14
1.188,7.11,2.03,-8.29,11.10
1.198,8.34,1.66,-5.31,10.02
1.209,9.18,1.47,-1.43,9.41
1.219,8.36,1.50,0.78,8.53
1.229,5.22,0.47,1.77,5.53
1.239,0.69,-0.75,1.46,1.78
1.249,-5.21,-1.86,1.84,5.83
1.259,-7.13,-2.54,1.98,7.82
1.269,-3.42,-1.24,1.19,3.83
1.279,-2.91,-0.66,2.25,3.74
1.289,-2.63,-1.35,1.91,3.52
1.299,-3.45,-1.69,1.61,4.17
1.309,-6.12,-2.48,0.70,6.64
1.319,-7.98,-3.13,-1.09,8.64
1.329,-7.84,-2.55,-1.08,8.31
1.339,-6.00,-1.70,-0.20,6.24
1.349,-4.04,-1.14,0.05,4.20
1.360,-2.17,-0.02,-0.02,2.17
1.370,-1.10,0.68,-0.11,1.30
1.380,-0.98,1.06,0.28,1.47
1.390,0.22,1.47,0.57,1.59
1.400,2.88,2.50,0.35,3.83
1.410,4.53,3.95,-1.61,6.22
1.420,4.35,5.28,-2.67,7.35
1.430,1.75,4.84,-3.92,6.47
1.440,-2.98,3.00,-4.49,6.17
1.450,-4.97,1.56,-2.10,5.62
1.460,-6.05,0.72,0.25,6.10
1.470,-7.48,-0.51,0.71,7.53
1.480,-9.68,-2.14,1.62,10.04
1.491,-10.70,-3.49,3.20,11.70
1.500,-8.50,-3.78,3.36,9.89
1.511,-6.06,-4.28,2.14,7.72
1.521,-1.25,-4.76,0.80,4.98
1.531,3.49,-3.38,-1.25,5.01
1.541,5.49,-2.63,-2.11,6.44
1.551,4.89,-2.28,-2.05,5.77
1.561,4.27,-1.85,-1.78,4.98
1.571,6.88,-2.80,-1.36,7.55
1.581,7.87,-2.80,-0.93,8.40
1.591,7.04,-2.95,-1.13,7.71
1.601,5.18,-3.53,-1.60,6.47
1.611,3.28,-3.88,-1.20,5.22
1.621,3.62,-3.41,-0.33,4.98
1.631,4.54,-2.14,0.49,5.04
1.641,4.78,-1.36,1.15,5.10
1.652,3.83,-0.47,1.20,4.04
1.662,2.98,0.30,1.22,3.23
1.672,2.23,1.04,0.90,2.62
1.682,0.97,1.39,-1.62,2.34
1.692,-2.87,3.04,-3.52,5.47
1.702,-5.40,3.00,-3.29,7.00
1.712,-7.07,3.41,-1.44,7.98
1.722,-7.58,4.01,1.28,8.67
1.732,-5.68,4.10,2.73,7.52
1.742,-3.28,4.17,1.67,5.56
1.752,-2.04,4.42,-0.50,4.89
1.762,-1.40,4.15,-1.77,4.72
1.773,-0.74,3.78,-1.22,4.04
1.782,-0.82,1.90,-0.48,2.12
1.793,-2.17,0.60,-0.26,2.27
1.803,-4.31,-0.70,-0.22,4.38
1.813,-3.89,-1.23,-0.14,4.08
1.823,-2.86,-1.40,1.02,3.35
1.833,-3.62,-1.43,1.97,4.36
1.843,-5.06,-0.57,2.19,5.54
1.853,-2.58,1.08,2.18,3.55
1.863,-1.98,0.38,3.22,3.80
1.873,-3.34,0.02,5.60,6.52
1.883,-1.07,-0.34,7.80,7.88
1.893,-2.72,-0.61,5.42,6.09
1.903,-1.99,-0.79,4.00,4.54
1.913,0.32,-0.50,4.19,4.23
1.924,0.45,-0.72,2.64,2.77
1.933,-0.87,-1.67,1.18,2.22
1.944,0.26,-1.93,1.26,2.32
1.954,-0.95,-2.23,0.44,2.47
1.964,-2.55,-1.78,-1.12,3.31
1.974,-1.73,0.39,-2.67,3.21
1.984,0.18,1.87,-1.33,2.30
1.994,-1.24,1.85,-0.72,2.34
2.004,-1.58,1.65,-0.41,2.32
2.014,-1.29,1.40,-0.78,2.06
2.024,-1.68,1.69,-0.92,2.55
2.034,-2.07,1.34,-1.21,2.75
2.044,-2.49,1.14,-1.46,3.10
2.054,-2.06,0.45,-1.69,2.71
2.064,-0.17,-0.39,-1.52,1.58
2.075,1.89,-1.08,0.05,2.17
2.085,3.55,-1.71,2.29,4.56
2.095,4.34,-1.44,1.81,4.92
2.105,3.03,0.12,-0.24,3.05
2.115,1.12,1.81,-0.82,2.28
2.125,0.44,2.21,-0.32,2.27
2.135,-0.40,2.69,-0.43,2.75
2.145,-0.71,2.39,-0.13,2.50
2.155,-1.11,2.70,-0.60,2.98
2.165,-1.39,3.17,-1.29,3.70
2.175,-1.58,3.52,-1.63,4.18
2.185,-1.74,3.67,-2.01,4.53
2.195,-1.84,3.81,-2.48,4.90
2.205,-1.77,4.01,-2.30,4.95
2.216,-1.41,4.49,-1.51,4.94
2.226,-0.94,4.94,-1.03,5.14
2.236,0.25,2.94,-0.97,3.11
2.246,2.34,-3.41,-1.72,4.47
2.256,3.09,-10.73,-2.42,11.42
2.267,3.45,-19.11,-2.80,19.62
2.276,3.77,-24.15,-3.24,24.66
2.286,4.12,-25.23,-3.44,25.80
2.296,3.95,-20.95,-4.75,21.84
2.306,4.07,-12.46,-10.88,17.03
2.316,2.89,-5.25,-15.96,17.05
2.326,2.29,-2.73,-12.99,13.47
2.336,2.43,-2.00,-6.95,7.62
2.346,2.34,-1.74,-2.20,3.65
2.356,1.56,-1.35,0.62,2.15
2.366,0.19,-1.00,3.81,3.94
2.377,-1.50,-0.66,6.54,6.74
2.387,-2.72,-0.56,6.51,7.08
2.397,-3.16,-0.50,6.20,6.97
2.407,-3.34,-0.75,6.24,7.12
2.417,-3.45,-1.06,6.56,7.48
2.427,-2.99,-1.25,6.55,7.31
2.437,-2.35,-1.57,6.29,6.90
2.447,-1.83,-1.60,5.97,6.44
2.457,-1.50,-1.68,5.32,5.78
2.467,-1.72,-1.86,4.28,4.97
2.477,-1.46,-1.83,2.06,3.12
2.487,-0.74,-1.18,-1.85,2.32
2.497,0.17,-0.41,-5.42,5.44
2.508,0.95,0.11,-5.60,5.68
2.518,0.79,0.31,-2.89,3.01
2.528,0.64,0.54,0.15,0.85
2.538,0.41,0.73,2.45,2.59
2.548,0.20,1.03,4.08,4.21
2.558,0.04,1.37,4.73,4.93
2.568,-0.15,1.88,4.84,5.19
2.578,-0.34,2.29,4.33,4.91
2.588,-0.89,2.53,3.47,4.39
2.598,-1.64,2.75,2.71,4.19
2.608,-2.19,2.91,2.60,4.47
2.618,-2.48,2.93,3.08,4.92
2.628,-2.67,3.02,3.64,5.43
2.639,-2.84,3.16,3.98,5.82
2.649,-2.77,3.31,4.12,5.97
2.659,-2.71,3.25,4.11,5.90
2.669,-2.75,3.13,3.83,5.66
2.679,-2.52,3.03,3.49,5.26
2.689,-2.07,3.03,3.27,4.91
2.699,-1.62,3.14,3.02,4.65
2.709,-1.31,3.27,2.60,4.38
2.719,-1.31,3.28,2.20,4.17
2.729,-1.35,3.14,1.99,3.96
2.739,-1.17,2.75,1.80,3.49
2.749,-0.69,2.18,1.58,2.78
2.759,-0.02,1.42,1.06,1.77
2.769,0.83,0.43,-0.35,1.00
2.779,1.97,-0.97,-3.17,3.85
2.789,3.39,-3.12,-8.06,9.29
2.800,5.16,-5.96,-13.61,15.72
2.810,6.55,-8.06,-14.11,17.52
2.820,6.58,-8.35,-9.96,14.57
2.830,5.16,-7.31,-7.46,11.65
2.840,2.79,-5.51,-6.38,8.88
