time,ax,ay,az,atotal
0.000,1.65,-0.01,0.10,1.65
0.010,1.89,0.03,0.21,1.90
0.020,2.16,0.05,-0.03,2.16
0.030,2.02,-0.06,-0.17,2.03
0.040,1.46,-0.17,-0.20,1.48
0.050,1.21,-0.17,-0.83,1.48
0.061,1.05,-0.01,-1.71,2.01
0.071,-0.36,-2.17,-0.62,2.28
0.081,0.88,-1.34,-0.66,1.74
0.091,1.47,-0.52,-0.44,1.62
0.101,1.57,-0.18,-0.62,1.70
0.111,1.65,0.36,-0.26,1.71
0.121,1.61,0.77,0.20,1.80
0.131,1.48,0.79,0.16,1.68
0.141,1.07,0.58,-0.06,1.22
0.151,0.83,0.32,-0.19,0.91
0.161,0.91,0.17,-0.02,0.93
0.171,0.82,0.22,0.07,0.86
0.182,0.59,0.36,0.07,0.69
0.191,0.77,0.46,-0.06,0.90
0.202,0.93,0.21,-0.16,0.97
0.212,0.93,-0.36,-0.51,1.12
0.222,0.75,-1.23,-1.00,1.75
0.232,-0.12,-2.28,-2.24,3.19
0.242,-1.90,-2.04,-2.88,4.01
0.252,-3.41,-1.58,0.01,3.76
0.262,-2.60,-2.38,-1.86,3.98
0.272,-2.37,-2.80,-1.03,3.81
0.282,-2.27,-2.53,-1.11,3.57
0.292,-1.91,-2.13,-0.76,2.96
0.302,-0.50,-2.24,-1.00,2.51
0.312,0.40,-1.72,-1.20,2.14
0.322,0.93,-1.08,-0.98,1.73
0.332,1.50,-0.82,-0.76,1.87
0.343,1.92,-0.73,-1.03,2.30
0.353,2.27,-0.67,-1.72,2.93
0.363,2.33,-0.64,-2.58,3.54
0.373,2.00,-0.54,-3.47,4.04
0.383,1.37,-0.43,-4.07,4.32
0.393,0.42,-0.75,-4.59,4.67
0.403,-0.74,-1.29,-5.04,5.25
0.413,-1.47,-1.58,-5.17,5.60
0.423,-1.59,-1.90,-5.14,5.70
0.433,-1.36,-2.21,-5.00,5.64
0.443,-0.94,-2.33,-4.66,5.29
0.453,-0.93,-2.51,-4.52,5.25
0.463,-0.82,-2.39,-4.46,5.13
0.473,-0.34,-2.28,-4.47,5.03
0.484,0.34,-2.51,-4.07,4.79
0.493,0.99,-2.83,-3.39,4.53
0.504,0.49,-2.55,-2.68,3.73
0.514,-0.32,-2.53,-2.03,3.26
0.524,-1.05,-2.80,-1.66,3.42
