time,ax,ay,az,atotal
0.000,-0.36,0.28,-0.06,0.46
0.010,-1.05,-0.02,-0.40,1.13
0.020,-1.31,0.12,-0.61,1.46
0.030,-0.87,0.36,-0.65,1.15
0.040,-0.10,0.46,-0.43,0.64
0.050,0.50,0.56,-0.07,0.76
0.060,0.92,0.56,0.21,1.10
0.071,1.07,0.46,0.46,1.25
0.080,0.88,0.23,0.52,1.05
0.091,0.59,0.01,0.49,0.76
0.101,0.31,-0.13,0.23,0.41
0.111,0.02,-0.25,-0.09,0.26
0.121,-0.28,-0.30,-0.32,0.52
0.131,-0.49,-0.30,-0.46,0.73
0.141,-0.42,-0.36,-0.11,0.56
0.151,-0.15,-0.50,0.56,0.76
0.161,0.06,-0.55,0.75,0.93
0.171,0.22,-0.55,0.25,0.64
0.181,0.02,-0.72,-0.16,0.74
0.191,0.00,-1.15,-0.43,1.23
0.201,0.16,-1.65,-0.48,1.73
0.211,0.63,-1.92,-0.87,2.20
0.222,1.05,-1.93,-1.40,2.60
0.232,1.51,-1.63,-1.59,2.73
0.242,2.35,-1.07,-1.62,3.05
0.252,2.75,-0.87,-2.04,3.53
0.262,2.80,-0.63,-2.68,3.92
0.272,4.31,-0.20,-3.49,5.55
0.282,4.77,0.18,-3.82,6.12
0.292,3.80,-0.11,-3.91,5.45
0.302,2.14,-1.68,-4.08,4.91
0.312,0.79,-2.97,-3.82,4.90
0.322,-0.07,-2.74,-3.20,4.22
0.332,-0.21,-1.62,-2.82,3.26
0.342,-0.26,-0.55,-2.83,2.89
0.353,-0.37,-0.21,-2.98,3.01
0.363,-0.02,-0.66,-3.02,3.09
0.373,1.17,-2.03,-3.05,3.85
0.383,1.64,-2.74,-2.70,4.18
0.393,1.89,-2.60,-2.19,3.89
0.403,2.13,-2.72,-2.06,4.02
0.413,1.80,-3.14,-2.50,4.40
0.423,1.15,-3.27,-3.33,4.81
0.433,0.83,-3.01,-4.53,5.50
0.443,0.29,-2.96,-5.30,6.08
0.453,-0.53,-3.38,-5.61,6.57
0.463,-1.34,-3.97,-5.77,7.13
0.473,-2.28,-4.62,-5.57,7.58
0.483,-3.41,-5.32,-5.31,8.26
0.494,-4.26,-5.62,-5.03,8.66
0.504,-5.04,-5.64,-4.58,8.85
0.514,-5.58,-5.79,-3.81,8.90
0.524,-5.59,-6.18,-3.03,8.87
0.534,-5.32,-6.61,-2.62,8.88
0.544,-5.29,-6.72,-2.16,8.83
0.554,-5.43,-6.75,-1.65,8.82
0.564,-5.42,-6.61,-0.85,8.59
0.574,-4.81,-6.17,0.71,7.85
0.584,-3.17,-5.84,2.34,7.04
0.594,-0.21,-5.20,3.91,6.51
0.604,3.07,-3.79,5.61,7.43
0.614,5.56,-2.23,6.78,9.05
0.624,6.82,-1.01,7.42,10.13
0.634,7.05,-0.48,8.17,10.80
0.644,7.55,-0.42,8.72,11.55
0.655,9.64,0.57,7.97,12.52
0.665,12.55,2.71,4.93,13.75
0.676,15.02,5.10,0.60,15.87
0.685,16.90,6.57,-3.17,18.41
0.695,16.96,7.35,-5.10,19.18
0.705,14.96,8.14,-6.05,18.07
0.715,13.25,8.18,-5.89,16.65
0.725,12.45,7.64,-4.49,15.28
0.735,12.24,7.24,-3.69,14.69
0.745,12.61,6.99,-3.40,14.82
0.755,11.82,5.95,-4.00,13.83
0.765,8.00,4.36,-6.33,11.10
0.775,3.53,2.19,-6.80,7.97
0.785,-0.26,-0.17,-5.49,5.49
0.795,-0.53,-0.97,-3.97,4.12
0.806,1.85,-0.21,-2.13,2.83
0.816,1.60,-0.06,-0.01,1.60
0.826,-3.68,-3.25,1.62,5.17
0.836,-9.19,-4.71,0.39,10.33
0.846,-11.37,-4.67,-0.76,12.32
0.856,-10.01,-4.59,-0.38,11.02
0.866,-6.98,-3.55,-0.23,7.84
0.876,-4.30,-3.03,-0.34,5.27
0.886,-3.16,-3.53,0.00,4.73
0.896,-2.57,-4.09,0.92,4.92
0.906,-3.17,-4.00,0.78,5.17
0.916,-3.55,-4.06,0.41,5.41
0.926,-2.09,-5.78,0.27,6.15
0.937,-1.18,-5.96,0.99,6.16
0.947,1.66,-3.26,3.00,4.73
0.957,2.67,-0.04,3.16,4.14
