,0
0,SITTING
1,STANDING
2,STANDING
3,STANDING
4,STANDING
5,STANDING
6,STANDING
7,STANDING
8,STANDING
9,STANDING
10,STANDING
11,STANDING
12,STANDING
13,STANDING
14,STANDING
15,WALKING_DOWNSTAIRS
16,WALKING_DOWNSTAIRS
17,STANDING
18,WALKING_DOWNSTAIRS
19,STANDING
20,WALKING
21,STANDING
22,WALKING
23,WALKING_UPSTAIRS
24,STANDING
25,STANDING
26,STANDING
27,STANDING
28,STANDING
29,STANDING
30,STANDING
31,WALKING_DOWNSTAIRS
32,STANDING
33,STANDING
34,STANDING
35,STANDING
36,STANDING
37,STANDING
38,STANDING
39,STANDING
40,LAYING
41,LAYING
42,STANDING
43,STANDING
44,WALKING
45,STANDING
46,STANDING
47,STANDING
48,STANDING
49,STANDING
50,STANDING
51,WALKING_UPSTAIRS
52,STANDING
53,STANDING
54,LAYING
55,STANDING
56,WALKING_DOWNSTAIRS
57,STANDING
58,STANDING
59,LAYING
60,STANDING
61,STANDING
62,STANDING
63,STANDING
64,STANDING
65,STANDING
66,WALKING
67,WALKING
68,STANDING
69,STANDING
70,STANDING
71,STANDING
72,STANDING
73,LAYING
74,WALKING
75,STANDING
76,STANDING
77,WALKING
78,STANDING
79,SITTING
80,SITTING
81,WALKING
82,WALKING_DOWNSTAIRS
83,STANDING
84,WALKING_UPSTAIRS
85,WALKING
86,WALKING_DOWNSTAIRS
87,WALKING_DOWNSTAIRS
88,WALKING
89,WALKING_DOWNSTAIRS
90,SITTING
91,WALKING
92,WALKING
93,WALKING
94,WALKING_DOWNSTAIRS
95,WALKING
96,WALKING
97,SITTING
98,WALKING
99,WALKING_DOWNSTAIRS
100,WALKING
101,WALKING_DOWNSTAIRS
102,WALKING_DOWNSTAIRS
103,SITTING
104,WALKING
105,SITTING
106,WALKING
107,WALKING_UPSTAIRS
108,STANDING
109,WALKING
110,WALKING
111,WALKING
112,SITTING
113,SITTING
114,WALKING
115,STANDING
116,WALKING_UPSTAIRS
117,WALKING
118,WALKING_DOWNSTAIRS
119,WALKING_DOWNSTAIRS
120,WALKING
121,WALKING_DOWNSTAIRS
122,WALKING_DOWNSTAIRS
123,WALKING
124,WALKING
125,SITTING
126,WALKING_UPSTAIRS
127,STANDING
128,WALKING
129,WALKING
130,WALKING
131,WALKING_UPSTAIRS
132,WALKING
133,WALKING_DOWNSTAIRS
134,WALKING_DOWNSTAIRS
135,WALKING_DOWNSTAIRS
136,WALKING
137,WALKING
