,0
0,WALKING
1,WALKING
2,WALKING
3,WALKING
4,WALKING
5,LAYING
6,LAYING
7,LAYING
8,LAYING
9,LAYING
10,LAYING
11,LAYING
12,LAYING
13,LAYING
14,LAYING
15,WALKING
16,WALKING
17,WALKING
18,WALKING
19,LAYING
20,WALKING
21,WALKING
22,WALKING_DOWNSTAIRS
23,WALKING_UPSTAIRS
24,LAYING
25,WALKING
26,WALKING
27,LAYING
28,LAYING
29,SITTING
30,LAYING
31,WALKING
32,LAYING
33,LAYING
34,LAYING
35,LAYING
36,LAYING
37,LAYING
38,LAYING
39,LAYING
40,LAYING
41,LAYING
42,LAYING
43,LAYING
44,WALKING
45,LAYING
46,WALKING
47,LAYING
48,LAYING
49,LAYING
50,LAYING
51,WALKING
52,LAYING
53,LAYING
54,LAYING
55,WALKING
56,WALKING
57,WALKING
58,LAYING
59,LAYING
60,LAYING
61,LAYING
62,WALKING_UPSTAIRS
63,WALKING
64,LAYING
65,LAYING
66,WALKING
67,WALKING
68,LAYING
69,LAYING
70,LAYING
71,LAYING
72,LAYING
73,LAYING
74,WALKING
75,LAYING
76,LAYING
77,WALKING
78,LAYING
79,WALKING
80,WALKING
81,WALKING
82,WALKING
83,LAYING
84,LAYING
85,LAYING
86,WALKING_DOWNSTAIRS
87,WALKING
88,WALKING
89,WALKING
90,SITTING
91,WALKING
92,WALKING
93,SITTING
94,WALKING
95,WALKING
96,WALKING_UPSTAIRS
97,WALKING_UPSTAIRS
98,WALKING
99,WALKING
100,WALKING
101,WALKING_UPSTAIRS
102,WALKING
103,WALKING
104,WALKING
105,LAYING
106,WALKING
107,WALKING
108,WALKING
109,LAYING
110,WALKING
111,WALKING
112,SITTING
113,SITTING
114,WALKING
115,LAYING
116,WALKING
117,LAYING
118,WALKING
119,WALKING
120,LAYING
121,WALKING
122,WALKING
123,WALKING
124,WALKING
125,WALKING
126,WALKING
127,WALKING
128,WALKING
129,WALKING
130,LAYING
131,WALKING
132,SITTING
133,WALKING_DOWNSTAIRS
134,WALKING_DOWNSTAIRS
135,WALKING
136,WALKING
137,WALKING_DOWNSTAIRS
138,WALKING
139,WALKING
140,WALKING_DOWNSTAIRS
141,WALKING_DOWNSTAIRS
142,SITTING
143,WALKING_DOWNSTAIRS
144,WALKING_DOWNSTAIRS
145,LAYING
146,LAYING
147,WALKING
148,WALKING_UPSTAIRS
149,SITTING
150,SITTING
151,WALKING
152,LAYING
153,LAYING
154,WALKING
155,WALKING
156,SITTING
157,WALKING
158,WALKING_UPSTAIRS
159,WALKING
160,WALKING
161,WALKING
162,LAYING
163,LAYING
164,LAYING
165,LAYING
166,LAYING
167,LAYING
168,WALKING
169,WALKING
170,WALKING
171,LAYING
172,LAYING
173,LAYING
174,LAYING
175,LAYING
176,LAYING
177,WALKING
178,LAYING
179,LAYING
180,LAYING
181,SITTING
182,WALKING_UPSTAIRS
183,LAYING
184,LAYING
185,LAYING
186,LAYING
187,LAYING
188,LAYING
189,LAYING
190,LAYING
191,LAYING
192,WALKING_DOWNSTAIRS
193,LAYING
194,WALKING
195,WALKING
196,WALKING
197,LAYING
198,LAYING
199,LAYING
200,LAYING
201,LAYING
202,LAYING
203,SITTING
204,WALKING
205,WALKING
206,LAYING
207,SITTING
208,LAYING
209,LAYING
210,LAYING
211,LAYING
212,WALKING
213,LAYING
214,WALKING
215,WALKING
216,LAYING
217,LAYING
218,LAYING
219,LAYING
220,LAYING
221,LAYING
222,LAYING
223,LAYING
224,LAYING
225,LAYING
226,LAYING
227,WALKING
228,SITTING
229,WALKING
230,WALKING
231,SITTING
232,WALKING
233,WALKING
234,WALKING
235,WALKING
236,WALKING
237,WALKING
238,SITTING
239,WALKING
240,LAYING
241,LAYING
242,WALKING
243,LAYING
244,WALKING
245,WALKING
246,SITTING
247,WALKING_DOWNSTAIRS
248,WALKING
249,WALKING
250,WALKING
251,WALKING
252,WALKING
253,WALKING
254,WALKING
255,WALKING
256,WALKING
257,SITTING
258,WALKING_DOWNSTAIRS
259,WALKING
260,WALKING
261,WALKING
262,WALKING
263,WALKING
264,WALKING
265,WALKING_DOWNSTAIRS
266,WALKING
267,WALKING
268,WALKING
269,WALKING
270,SITTING
271,WALKING
272,LAYING
273,SITTING
274,SITTING
275,SITTING
276,LAYING
277,WALKING_UPSTAIRS
278,WALKING
279,WALKING_DOWNSTAIRS
280,WALKING
281,WALKING
282,LAYING
283,WALKING
284,WALKING
285,WALKING
286,SITTING
287,WALKING_DOWNSTAIRS
288,WALKING
289,WALKING
290,WALKING
291,WALKING
292,WALKING
293,WALKING
294,SITTING
295,WALKING_DOWNSTAIRS
296,WALKING_DOWNSTAIRS
297,WALKING
298,WALKING
299,LAYING
300,WALKING
301,WALKING
302,STANDING
303,WALKING
304,WALKING_DOWNSTAIRS
305,STANDING
306,WALKING
307,WALKING
308,WALKING
309,WALKING
310,LAYING
311,WALKING
312,LAYING
313,WALKING
314,LAYING
315,LAYING
316,LAYING
317,LAYING
318,WALKING
319,WALKING
320,WALKING
321,LAYING
322,WALKING
323,WALKING
324,LAYING
325,WALKING
326,WALKING
327,LAYING
328,LAYING
329,WALKING_DOWNSTAIRS
330,SITTING
331,SITTING
332,WALKING
333,LAYING
334,LAYING
335,LAYING
336,LAYING
337,WALKING
338,LAYING
339,LAYING
340,LAYING
341,LAYING
342,WALKING
343,LAYING
344,LAYING
345,LAYING
346,LAYING
347,LAYING
348,LAYING
349,LAYING
350,LAYING
351,STANDING
352,LAYING
353,LAYING
354,SITTING
355,WALKING
356,LAYING
357,LAYING
358,LAYING
359,LAYING
360,LAYING
361,LAYING
362,LAYING
363,LAYING
364,LAYING
365,LAYING
366,LAYING
367,LAYING
368,LAYING
369,WALKING
370,WALKING
371,WALKING_DOWNSTAIRS
372,WALKING
373,LAYING
374,LAYING
375,LAYING
376,LAYING
377,LAYING
378,LAYING
379,LAYING
380,LAYING
381,LAYING
382,LAYING
383,WALKING
384,WALKING_UPSTAIRS
385,WALKING
386,WALKING
387,WALKING
388,WALKING
389,WALKING
390,WALKING
391,WALKING
392,WALKING
393,WALKING
394,WALKING
395,WALKING
396,WALKING
397,WALKING
398,LAYING
399,WALKING
400,WALKING
401,LAYING
402,WALKING
403,WALKING
404,WALKING
405,LAYING
406,WALKING
407,WALKING
408,WALKING
409,WALKING
410,WALKING
411,WALKING
412,WALKING
413,WALKING
414,LAYING
415,WALKING
416,WALKING_UPSTAIRS
417,WALKING
418,SITTING
419,WALKING
420,WALKING_UPSTAIRS
421,WALKING_UPSTAIRS
422,WALKING
423,WALKING
424,WALKING
425,SITTING
426,SITTING
427,WALKING
428,LAYING
429,LAYING
430,WALKING_UPSTAIRS
431,SITTING
432,WALKING
433,WALKING
434,LAYING
435,LAYING
436,WALKING
437,WALKING
438,WALKING_DOWNSTAIRS
439,SITTING
440,SITTING
441,WALKING_UPSTAIRS
442,WALKING
443,WALKING
444,WALKING
445,WALKING
446,WALKING
447,WALKING_DOWNSTAIRS
