,0
0,SITTING
1,WALKING
2,WALKING
3,WALKING
4,WALKING
5,LAYING
6,LAYING
7,WALKING
8,WALKING
9,LAYING
10,WALKING
11,WALKING_UPSTAIRS
12,WALKING
13,LAYING
14,SITTING
15,WALKING_UPSTAIRS
16,WALKING
17,WALKING_UPSTAIRS
18,WALKING
19,LAYING
20,WALKING
21,WALKING_UPSTAIRS
22,WALKING_UPSTAIRS
23,WALKING
24,SITTING
25,WALKING_UPSTAIRS
26,WALKING
27,WALKING_UPSTAIRS
28,WALKING
29,LAYING
30,WALKING
31,WALKING
32,SITTING
33,LAYING
34,LAYING
35,WALKING
36,WALKING
37,WALKING_UPSTAIRS
38,LAYING
39,SITTING
40,WALKING
41,SITTING
42,WALKING_UPSTAIRS
43,WALKING
44,SITTING
45,WALKING_UPSTAIRS
46,WALKING_UPSTAIRS
47,SITTING
48,SITTING
49,LAYING
50,LAYING
51,LAYING
52,WALKING
53,WALKING
54,SITTING
55,LAYING
56,WALKING
57,WALKING_UPSTAIRS
58,LAYING
59,LAYING
60,LAYING
61,WALKING
62,SITTING
63,WALKING_UPSTAIRS
64,WALKING_UPSTAIRS
65,WALKING
66,LAYING
67,WALKING
68,SITTING
69,LAYING
70,WALKING
71,LAYING
72,WALKING
73,WALKING
74,WALKING
75,WALKING_UPSTAIRS
76,WALKING_UPSTAIRS
77,WALKING
78,WALKING_UPSTAIRS
79,WALKING
80,LAYING
81,SITTING
82,LAYING
83,LAYING
84,LAYING
85,LAYING
86,WALKING
87,WALKING
88,LAYING
89,SITTING
90,LAYING
91,SITTING
92,WALKING_DOWNSTAIRS
93,WALKING_UPSTAIRS
94,SITTING
95,SITTING
96,WALKING_UPSTAIRS
97,WALKING
98,LAYING
99,SITTING
100,LAYING
101,LAYING
102,LAYING
103,WALKING
104,LAYING
105,WALKING
106,WALKING
107,WALKING
108,WALKING
109,WALKING
110,LAYING
111,LAYING
112,WALKING
113,LAYING
114,WALKING_UPSTAIRS
115,WALKING
116,WALKING_UPSTAIRS
117,SITTING
118,WALKING
119,LAYING
120,WALKING_UPSTAIRS
121,WALKING
122,WALKING
123,LAYING
124,WALKING
125,LAYING
126,LAYING
127,WALKING_UPSTAIRS
128,WALKING
129,LAYING
130,LAYING
131,WALKING
132,SITTING
133,WALKING_UPSTAIRS
134,SITTING
135,LAYING
136,SITTING
137,LAYING
138,LAYING
139,WALKING_UPSTAIRS
140,WALKING
141,LAYING
142,LAYING
143,LAYING
144,WALKING
145,LAYING
146,WALKING
147,LAYING
148,LAYING
149,WALKING
150,WALKING
151,WALKING
152,LAYING
153,LAYING
154,WALKING_DOWNSTAIRS
155,LAYING
156,LAYING
157,WALKING
158,LAYING
159,WALKING
160,LAYING
161,WALKING
162,SITTING
163,LAYING
164,SITTING
165,SITTING
166,WALKING
167,LAYING
168,SITTING
169,WALKING
170,WALKING
171,WALKING
172,LAYING
173,WALKING
174,WALKING_UPSTAIRS
175,WALKING
176,LAYING
177,WALKING_UPSTAIRS
178,LAYING
179,SITTING
180,SITTING
181,LAYING
182,WALKING
183,LAYING
184,WALKING
185,LAYING
186,LAYING
187,WALKING
188,WALKING
189,LAYING
190,LAYING
191,WALKING
192,WALKING_UPSTAIRS
193,WALKING
194,WALKING
195,LAYING
196,WALKING_UPSTAIRS
197,WALKING
198,SITTING
199,WALKING
200,LAYING
201,LAYING
202,WALKING
203,LAYING
204,WALKING
205,LAYING
206,WALKING
207,LAYING
208,WALKING
209,LAYING
210,LAYING
211,SITTING
212,SITTING
213,WALKING
214,WALKING
215,WALKING
216,SITTING
217,LAYING
218,WALKING_UPSTAIRS
219,WALKING
220,WALKING
221,WALKING
222,WALKING_DOWNSTAIRS
223,WALKING
224,LAYING
225,WALKING
226,SITTING
227,LAYING
228,WALKING
229,WALKING_UPSTAIRS
230,WALKING_UPSTAIRS
231,WALKING
232,LAYING
233,LAYING
234,LAYING
235,LAYING
236,WALKING
237,WALKING
238,LAYING
239,LAYING
240,WALKING
241,SITTING
242,WALKING_UPSTAIRS
243,WALKING
244,WALKING
245,SITTING
246,LAYING
247,SITTING
248,SITTING
249,LAYING
250,LAYING
251,SITTING
252,WALKING
253,LAYING
254,WALKING
255,WALKING
256,WALKING
257,LAYING
258,WALKING
259,WALKING
260,WALKING
261,WALKING
262,SITTING
263,WALKING_UPSTAIRS
264,WALKING
265,LAYING
266,LAYING
267,SITTING
268,SITTING
269,WALKING
270,LAYING
271,LAYING
272,LAYING
273,SITTING
274,LAYING
275,WALKING
276,WALKING
277,WALKING
278,SITTING
279,LAYING
280,WALKING_UPSTAIRS
281,WALKING_UPSTAIRS
282,SITTING
283,WALKING_UPSTAIRS
284,LAYING
285,LAYING
286,LAYING
287,WALKING
288,WALKING
289,WALKING
290,WALKING_DOWNSTAIRS
291,LAYING
292,SITTING
293,SITTING
294,WALKING
295,WALKING
296,LAYING
297,LAYING
298,WALKING_DOWNSTAIRS
299,LAYING
300,SITTING
301,SITTING
302,WALKING
303,LAYING
304,LAYING
305,WALKING
306,WALKING
307,SITTING
308,LAYING
309,LAYING
310,LAYING
311,LAYING
312,WALKING
313,WALKING
314,LAYING
315,SITTING
316,LAYING
317,LAYING
318,LAYING
319,LAYING
320,WALKING
321,WALKING
322,WALKING
323,LAYING
324,LAYING
325,WALKING
326,SITTING
327,SITTING
328,WALKING
329,LAYING
330,WALKING
331,LAYING
332,SITTING
333,LAYING
334,LAYING
335,LAYING
336,SITTING
337,LAYING
338,SITTING
339,LAYING
340,WALKING_UPSTAIRS
341,LAYING
342,LAYING
343,WALKING_UPSTAIRS
344,WALKING
345,WALKING
346,WALKING
347,LAYING
348,LAYING
349,WALKING
350,LAYING
351,WALKING
352,WALKING
353,WALKING_DOWNSTAIRS
354,SITTING
355,WALKING_UPSTAIRS
356,WALKING
357,LAYING
358,WALKING_DOWNSTAIRS
359,SITTING
360,WALKING
361,LAYING
362,SITTING
363,WALKING
364,WALKING
365,LAYING
366,SITTING
367,LAYING
368,WALKING_UPSTAIRS
369,LAYING
370,LAYING
371,WALKING
372,LAYING
373,SITTING
374,WALKING_UPSTAIRS
375,LAYING
376,LAYING
377,LAYING
378,LAYING
379,SITTING
380,LAYING
381,LAYING
382,WALKING
383,WALKING
384,LAYING
385,SITTING
386,WALKING
387,LAYING
388,WALKING
389,WALKING
390,LAYING
391,WALKING_UPSTAIRS
392,WALKING
393,WALKING
394,WALKING_UPSTAIRS
395,SITTING
396,SITTING
397,SITTING
398,WALKING
399,LAYING
400,SITTING
401,WALKING
402,WALKING_UPSTAIRS
403,LAYING
404,LAYING
405,LAYING
406,LAYING
407,LAYING
408,LAYING
409,WALKING
410,WALKING
411,LAYING
412,LAYING
413,LAYING
414,LAYING
415,LAYING
416,LAYING
417,WALKING
418,WALKING
419,WALKING
420,LAYING
421,SITTING
422,LAYING
423,LAYING
424,WALKING
425,WALKING_UPSTAIRS
426,SITTING
427,WALKING
428,WALKING
429,LAYING
430,WALKING_UPSTAIRS
431,WALKING
432,LAYING
433,LAYING
434,LAYING
435,SITTING
436,LAYING
437,LAYING
438,WALKING
439,WALKING
440,WALKING
441,SITTING
442,LAYING
443,SITTING
444,LAYING
445,SITTING
446,SITTING
447,WALKING_UPSTAIRS
448,LAYING
449,WALKING
450,WALKING_UPSTAIRS
451,LAYING
452,LAYING
453,LAYING
454,LAYING
455,WALKING
456,WALKING_UPSTAIRS
457,LAYING
458,LAYING
459,LAYING
460,WALKING
461,WALKING
462,WALKING
463,WALKING
464,LAYING
465,WALKING_UPSTAIRS
466,LAYING
467,WALKING
468,LAYING
469,LAYING
470,SITTING
471,SITTING
472,LAYING
473,SITTING
474,WALKING_DOWNSTAIRS
475,WALKING
476,SITTING
477,SITTING
478,LAYING
479,LAYING
480,WALKING
481,WALKING
482,WALKING_UPSTAIRS
483,LAYING
484,WALKING
485,LAYING
486,WALKING
487,WALKING
488,LAYING
489,WALKING
490,WALKING_UPSTAIRS
491,WALKING
492,WALKING
493,LAYING
494,SITTING
495,WALKING
496,LAYING
497,WALKING_UPSTAIRS
498,WALKING
499,WALKING
