,0
0,WALKING_UPSTAIRS
1,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
3,STANDING
4,STANDING
5,WALKING_UPSTAIRS
6,WALKING_UPSTAIRS
7,STANDING
8,WALKING_UPSTAIRS
9,LAYING
10,LAYING
11,STANDING
12,STANDING
13,STANDING
14,LAYING
15,WALKING
16,LAYING
17,STANDING
18,WALKING_UPSTAIRS
19,STANDING
20,STANDING
21,WALKING_UPSTAIRS
22,WALKING_UPSTAIRS
23,WALKING_UPSTAIRS
24,WALKING
25,LAYING
26,SITTING
27,LAYING
28,WALKING_UPSTAIRS
29,WALKING
30,LAYING
31,WALKING
32,LAYING
33,LAYING
34,WALKING_UPSTAIRS
35,LAYING
36,LAYING
37,WALKING_UPSTAIRS
38,WALKING_UPSTAIRS
39,WALKING
40,WALKING_UPSTAIRS
41,WALKING_UPSTAIRS
42,WALKING_UPSTAIRS
43,SITTING
44,STANDING
45,STANDING
46,STANDING
47,WALKING_UPSTAIRS
48,WALKING_UPSTAIRS
49,WALKING_UPSTAIRS
50,WALKING_UPSTAIRS
51,LAYING
52,WALKING
53,LAYING
