,0
0,WALKING_UPSTAIRS
1,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
3,LAYING
4,WALKING_UPSTAIRS
5,WALKING_UPSTAIRS
6,WALKING_UPSTAIRS
7,LAYING
8,STANDING
9,WALKING_UPSTAIRS
10,WALKING_UPSTAIRS
11,STANDING
12,WALKING_UPSTAIRS
13,WALKING
14,LAYING
15,STANDING
16,LAYING
17,STANDING
18,LAYING
19,WALKING
20,LAYING
21,LAYING
22,WALKING_UPSTAIRS
23,LAYING
24,LAYING
25,WALKING_UPSTAIRS
26,WALKING_UPSTAIRS
27,WALKING_UPSTAIRS
28,WALKING
29,LAYING
30,WALKING_UPSTAIRS
31,WALKING_UPSTAIRS
32,WALKING_UPSTAIRS
33,WALKING_UPSTAIRS
34,WALKING_UPSTAIRS
